mainrole	20120314	20120322	20120328	20120403	20120416	20120419	20120423	20120507	20120516	20120521	20120531	20120604	20120613	20120619	20120628	20120705	20120709	20120717	20120802	20120806	20120813	20120820	20120823	20120828	20120903	20120910	20120920	20120924	20121001	20121004	20121015	20121022	20121028	20121105	20121123	20121128	20121220
Amino acid biosynthesis	2441.68754042042	5876.96229215328	1598.32717802773	2311.31215417763	4184.8666335668	4440.20756071223	3283.27467125003	7220.23089034094	3938.97994090321	4189.5181516885	4015.0294248597	3820.45650634537	3548.97650800887	6401.1884767742	4558.45657660252	5608.16482280511	3315.09977708169	4614.09234195085	4118.79814941796	2338.87680300299	3800.36778050105	7687.12293359153	6765.7070402492	5254.97563208897	6048.08398144133	3985.78839772493	6244.61873081183	3840.1393573029	6689.56119222159	4643.26273932538	6474.15906287143	5635.30046542295	3257.87920018456	3917.43181359554	3426.3082795981	4979.578783826	5527.84189046221
Biosynthesis of cofactors, prosthetic groups, and carriers	3957.6147498669	8487.35664587357	2805.38485500723	3521.71259134461	6622.05729323443	7056.5181300541	5061.90481855895	8552.26773177408	6061.14111839146	5632.79328559365	5873.96282593593	6286.58171733538	4839.76269392481	8502.00197235656	6214.06465403787	5838.25637376552	4445.77417185595	6092.56938131436	5024.20503335447	3118.2144469678	4724.34484366134	9113.57671470024	8299.85565485918	5835.47368489206	6667.02483318693	6231.50468153363	7757.20644008436	6128.32000836425	8194.75280441496	5881.78625791184	7436.17597418021	6499.55548084961	4126.93879384494	5473.92731852884	5458.73520072769	6315.57979469929	7776.77639693796
Cell envelope	1885.36701898542	4481.11389131945	1446.16644494074	1999.44875874782	3927.60245093172	3907.58245268476	3073.20902053369	5557.57107312899	3217.95305663989	3199.72346884063	3375.41127251567	3048.20226035149	2915.8078188068	5060.00756972717	3623.48731498291	3874.39673805667	2530.53320411035	3706.30470246893	3239.64961388895	1995.66899074583	3036.12203014337	5946.13341699036	5151.81463241608	3973.72931447661	4586.34808795353	3154.51068648778	4550.87937771975	3437.75276373893	4695.59425613003	3417.58245942664	4692.23155849633	4098.28577465106	2598.61775257182	3110.93456658842	3215.15952317341	3992.81817300094	4859.5123670662
Cellular processes	3028.77324248675	8156.20250581359	2231.63611263131	3134.02954027855	5736.24351311017	6184.58531288397	4598.08807181788	7995.5146030376	5071.87968125021	4902.36524059601	4747.34571521266	4585.66014334029	3968.05720751561	7166.63622506694	5349.2070721441	5536.78443526682	3614.47599632598	4916.16911371368	4762.72129340883	2987.43881756241	4787.65755956278	8510.09436093665	7316.9990811085	5263.0379760188	6059.60231704036	5189.47532062846	6979.14482930915	4975.14951447877	7532.11602422684	5395.11512383608	6929.90495549886	6060.02801609261	3606.99193706285	4963.45250017443	4848.68638112234	5534.112763711	6933.43564744325
Central intermediary metabolism	1217.40956034627	3005.94422649279	827.810447168363	1180.06393849211	2091.81275442077	2221.79926766583	1605.47777169423	2931.90902272707	1834.81414375494	1786.27720840232	1765.71619378092	1900.30797862239	1551.85073662252	2655.66749548782	1959.10821674541	2076.09705695922	1377.79392690175	2102.031736629	1778.77616511926	1047.22036534543	1585.48548085805	3139.12815596947	2751.23540018658	2025.18568596218	2369.84556761119	1931.10057174229	2576.10084632159	1878.24491054735	2723.0835935819	1926.99923545631	2564.65785312026	2196.69660390435	1364.43670866744	1727.18342820217	1647.70888231918	2096.44551564446	2500.66186568448
DNA metabolism	2501.79841954761	6323.15521521241	2020.59211573806	2756.04659521863	5047.72188484802	5366.05548497775	4071.37974089441	6895.52648016906	4418.90736428478	4262.4196624774	4549.00174585432	4238.83346050741	3706.04020836113	6543.78871357651	4624.05085703174	4877.14444226748	3378.07248730641	4625.54652549323	4133.7642449476	2469.28270709041	3942.79313069243	7332.21385748154	6531.77266923463	4680.4703943198	5391.25287286673	4379.08835598186	6208.75695616933	4250.71887095624	6566.09824446928	4660.61616970852	6075.68773999924	5280.90697216074	3114.00220112864	4204.91409688586	4370.26383504897	5217.87719254441	6052.10925109746
Energy metabolism	5203.9988412825	12891.1457071386	4011.19276907752	5801.56317674979	9878.13580023069	10187.5405209156	7837.97000159744	11845.6244615192	8281.35061594201	7294.91628637782	7607.31338490014	7159.91611157178	7087.38461406026	12493.7935172033	8796.67779770616	8144.75941395655	5506.29983882608	7878.13178413035	6828.34165826479	4213.20700368359	6400.51237499948	12559.4039395221	11725.0601812702	7782.63184942033	8888.30544637614	9398.03568487803	12122.9034737789	8190.74851973468	12383.0016007085	8674.04275523581	11112.9855279131	9373.00130314975	5677.95938353681	8170.81710726119	8284.75639874933	9026.12770670188	11047.419709504
Fatty acid and phospholipid metabolism	1315.18315820604	2980.01023547482	843.781720446707	1181.61804840061	2417.46344041029	2464.71286692811	1846.65238541229	2725.77226069943	1948.3762612881	1571.38950693713	1775.62582200339	2033.85566640363	1530.85555683896	2774.20988396963	2115.21907912241	1954.14081160125	1307.55405714606	1796.97832127843	1649.17200637533	951.586406454237	1452.2569575922	2906.77912634257	2692.62145026447	1809.22528081954	2061.27861943485	2076.96250684479	2710.75476829906	1853.37958206411	2819.1274119693	1969.6257054752	2546.08136643242	2240.19525567696	1218.73557623011	1937.64316101203	1935.95838372759	2095.55345290602	2627.81399066036
Hypothetical proteins	412.959848313926	941.685439226818	328.234181610217	447.667536667222	817.544310494839	894.923091432219	645.92862633711	943.797967695288	674.129159914372	562.803251618672	727.004752666456	650.085331723373	521.708046189912	931.035383857867	719.142799276037	633.887824492161	382.522433315916	569.381362256986	575.087458515134	342.481002569315	516.820086943861	1014.52147446006	885.552153696968	631.623051760313	673.109219457722	725.460225436951	917.825380382319	633.005438249439	924.242648244357	634.058338807521	863.279085589471	783.463517496631	434.771151038175	600.79629153363	690.154146546072	811.659478597541	1002.79992716196
